author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Nathan Foley-Fisher,Self-Fulfilling Runs: Evidence from the U.S. Life Insurance Industry,Federal Reserve Board,Jan 05 2016,10:15 AM,"Marriott Marquis, Sierra J","International Banking, Economics and Finance Association","Measuring and Managing Financial Stability (G2, E5)",,John Krainer,Federal Reserve Bank of San Francisco,Roland Meeks,Bank of England,Andreas Lehnert,Federal Reserve Board,Lawrence Schmidt,University of Chicago,Scott Brave,Federal Reserve Bank of Chicago,,,Nathan Foley-Fisher,Male,,,,,,NA,NA,NA,NA,NA
Nathan Nunn,Ancestral Characteristics of Modern Populations,Harvard University and NBER,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 22",American Economic Association,"Economic Development and Culture (O1, Z1)",,Paola Giuliano,University of California-Los Angeles and NBER,Jessica Pan,Singapore National University,Assaf Sarid,Brown University,Alessandra Fogli,Bocconi University,Luigi Guiso,Einaudi Institute for Economics and Finance,,,Nathan Nunn,Male,,,,,,NA,NA,NA,NA,NA
Nathan Nunn,Bride Price and the Returns to Education for Women,Harvard University,Jan 05 2016,10:15 AM,"Hilton Union Square, Golden Gate 3 & 4",American Economic Association,Micro and Macro Perspectives on Families and Development,O1,Michele Tertilt,University of Mannheim,Erica Field,Duke University,Alice Schoonbroodt,University of Iowa,Nava Ashraf,Harvard University,Marianne Bertrand,University of Chicago,,,Nathan Nunn,Male,,,,,,NA,NA,NA,NA,NA
Nathan Nunn,Agricultural Productivity and Conflict: Evidence from the Diffusion of Potatoes to the Old World,Harvard University,Jan 03 2016,8:00 AM,"Hilton Union Square, Imperial A",American Economic Association,"The Economics of Violence (O1, Q1)",,Solomon M. Hsiang,University of California-Berkeley,Suresh Naidu,Columbia University,Michael Callen,Harvard University,Melissa Dell,Harvard University,Edward Miguel,University of California-Berkeley,,,Nathan Nunn,Male,,,,,,NA,NA,NA,NA,NA
Nathan Yang,"Firm Expansion, Size Spillovers and Market Dominance in Retail Chain Dynamics",McGill University,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 16",Econometric Society,Structural Econometrics Models,A1,Bradley Larsen,Stanford University,,,,,,,,,,,Nathan Yang,Male,,,,,,NA,NA,NA,NA,NA
Nathaniel Hendren,Gender Differences in Intergenerational Mobility Across the U.S,Harvard University,Jan 03 2016,10:15 AM,"Hilton Union Square, Imperial A",American Economic Association,"Gender Gaps in Childhood: Skills, Behavior, and Labor Market Preparedness",I2,David Autor,Massachusetts Institute of Technology,David Figlio,Northwestern University,Melissa S. Kearney,University of Maryland,Abigail Payne,McMaster University,,,,,Nathaniel Hendren,Male,,,,,,NA,NA,NA,NA,NA
Nathaniel Hilger,Peer Networks and College Choice: Evidence from New Administrative Data,Brown University,Jan 04 2016,2:30 PM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,"Information, Expectations, and Education Choices II (D8, I2)",,Basit Zafar,Federal Reserve Bank of New York,Arnaud Maurel,Duke University,Nathaniel Hilger,Brown University,Francisco Gallego,Universidad Catolica de Chile,Matthew Wiswall,Arizona State University,,,Nathaniel Hilger,Male,,,,,,NA,NA,NA,NA,NA
Nava Ashraf,Efficiency Wages in the Public Sector? Evidence from a Natural Experiment,Harvard Business School,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 16",Econometric Society,Bureaucrats and Politicians: Experimental and Quasi-Experimental Studies,A1,Johanna Rickne,Research Institute for Industrial Economics,,,,,,,,,,,NAVA ASHRAF,Female,,,,,,NA,NA,NA,NA,NA
Nava Ashraf,Bride Price and the Returns to Education for Women,Harvard University,Jan 05 2016,10:15 AM,"Hilton Union Square, Golden Gate 3 & 4",American Economic Association,Micro and Macro Perspectives on Families and Development,O1,Michele Tertilt,University of Mannheim,Erica Field,Duke University,Alice Schoonbroodt,University of Iowa,Nava Ashraf,Harvard University,Marianne Bertrand,University of Chicago,,,NAVA ASHRAF,Female,,,,,,NA,NA,NA,NA,NA
Neil Mehrotra,Secular Stagnation and International Financial Markets,Brown University,Jan 03 2016,8:00 AM,"Hilton Union Square, Yosemite B",American Economic Association,Global Reserve Assets in a Low Interest Rate World,A1,Pierre-Olivier Gourinchas,University of California-Berkeley,Manuel Amador,Federal Reserve Bank of Minneapolis,Matteo Maggiori,Harvard University,Jeremy Stein,Harvard University,Mark Gertler,New York University,,,Neil Mehrotra,Male,,,,,,NA,NA,NA,NA,NA
Neng Wang,Career Concerns and Corporate Finance,Columbia University,Jan 05 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 5 & 6",American Finance Association,Dynamic Corporate Finance,G3,Lucian Taylor,University of Pennsylvania,Antoinette Schoar,Massachusetts Institute of Technology,Gregor Matvos,University of Chicago,Lukas Schmid,Duke University,Bengt Holmstrom,Massachusetts Institute of Technology,,,NENG WANG,Male,,,,,,NA,NA,NA,NA,NA
Neviana Petkova,The Lifecycle of Inventors,United States Department of Treasury,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 15",Econometric Society,Innovation and Technological Change,A1,Benjamin Roin,Massachusetts Institute of Technology,,,,,,,,,,,Neviana Petkova,Female,,,,,,NA,NA,NA,NA,NA
Nicholas Bloom,The Impact of Uncertainty Shocks for Corporate Financing,Stanford University,Jan 05 2016,1:00 PM,"Hilton Union Square, Imperial B",American Economic Association,"Economic Uncertainty and Finance (E2, E3)",,Nicholas Bloom,Stanford University,,,,,,,,,,,NICHOLAS BLOOM,Male,,,,,,NA,NA,NA,NA,NA
Nicholas Bloom,Crises and Firm Organisation,Stanford University,Jan 03 2016,10:15 AM,"Marriott Marquis, Pacific I",Society for Institutional and Organizational Economics,"Institutional Design and Organizational Performance (D2, D7)",,F. Andrew Hanssen,Clemson University,Jean Francois Houde,University of Pennsylvania,J. Anthony Cookson,University of Colorado,Robert K. Fleck,Clemson University,Stephen Haber,Stanford University,,,NICHOLAS BLOOM,Male,,,,,,NA,NA,NA,NA,NA
Nicholas Bloom,Firming Up Inequality,Stanford University,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 19",Econometric Society,Inequality and Education,A1,David Autor,Massachusetts Institute of Technology,,,,,,,,,,,NICHOLAS BLOOM,Male,,,,,,NA,NA,NA,NA,NA
Nicholas Bloom,International Data on Firm Management and Organization,Stanford University,Jan 04 2016,8:00 AM,"Hilton Union Square, Imperial A",American Economic Association,Private Data,C8,John Abowd,Cornell University,,,,,,,,,,,NICHOLAS BLOOM,Male,,,,,,NA,NA,NA,NA,NA
Nicholas Bloom,Managing Trade in China and the U.S,Stanford University,Jan 05 2016,8:00 AM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,"Trade and Growth (F1, O1)",,John Van Reenen,London School of Economics,,,,,,,,,,,NICHOLAS BLOOM,Male,,,,,,NA,NA,NA,NA,NA
Nicholas Bloom,Short and Long Run Uncertainty,Stanford University,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 20",Econometric Society,"Uncertainty, Risk and Fluctuations",A1,Joseph Vavra,University of Chicago,,,,,,,,,,,NICHOLAS BLOOM,Male,,,,,,NA,NA,NA,NA,NA
Nicholas Bloom,Chasing Ambulance Productivity,Stanford University,Jan 05 2016,10:15 AM,"Hilton Union Square, Imperial B",American Economic Association,"Management and Productivity in Health Care (I1, D2)",,Nicholas Bloom,Stanford University,Raffaella Sadun,Harvard University,Jeff Clemens,University of California-San Diego,Aviv Nevo,Northwestern University,Martin Gaynor,Carnegie Mellon University,,,NICHOLAS BLOOM,Male,,,,,,NA,NA,NA,NA,NA
Nicholas Ryan,Is there an Energy-Efficiency Gap? Experimental Evidence from Indian Manufacturing Plants,Yale University,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 3 & 4",American Economic Association,Evaluating Energy Efficiency Programs,Q4,Hunt Allcott,New York University,Paulina Oliva Vallejo,University of California-Santa Barbara,Lucas Davis,University of California-Berkeley,Koichiro Ito,Boston University,Arik Levinson,Georgetown University,,,Nicholas Ryan,Male,,,,,,NA,NA,NA,NA,NA
Nicholas Trachter,Dispersion in Relative Prices: Evidence and Theory,Federal Reserve Bank of Richmond,Jan 05 2016,8:00 AM,"Hilton Union Square, Union Square 14",Econometric Society,Multi-Product Search,A1,Garth Baughman,University of Pennsylvania,,,,,,,,,,,Nicholas Trachter,Male,,,,,,NA,NA,NA,NA,NA
Nick Tsivanidis,Contract Labor and Firm Dynamics in India,University of Chicago,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 1 & 2",Korea-America Economic Association,"Economic Growth and Development (O1, O4)",,Yongseok Shin,Washington University-St. Louis and Federal Reserve Bank of St. Louis,,,,,,,,,,,Nick Tsivanidis,Male,,,,,,NA,NA,NA,NA,NA
Nicola Gennaioli,After You: Gender and Group Decision-Making,Bocconi University,Jan 04 2016,2:30 PM,"Hilton Union Square, Franciscan C",American Economic Association,"Experimental Gender Economics (C9, D8)",,Muriel Niederle,Stanford University,Johanna Mollerstrom,George Mason University,Maria Recalde,International Food Policy Research Institute,Anya Samek,University of Southern Califiornia,Olga Shurchkov,Wellesley College,,,NICOLA GENNAIOLI,Male,,,,,,NA,NA,NA,NA,NA
Nicolas Crouzet,Aggregate Implications of Corporate Debt Choices,Northwestern University,Jan 05 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 5 & 6",American Finance Association,"Banks, Downturns, and Disasters",G2,Philipp Schnabl,New York University,Adriano Rampini,Duke University,Amir Kermani,University of California-Berkeley,Pablo Kurlat,Stanford University,Andres Liberman,New York University,,,Nicolas Crouzet,Male,,,,,,NA,NA,NA,NA,NA
Nicolas Gendron-Carrier,The Local Impact of Containerization,University of Toronto,Jan 03 2016,2:30 PM,"Parc 55, Powell I",American Real Estate & Urban Economic Association,"Urban Productivity (R1, R4)",,William Strange,University of Toronto,Jeffery Lin,Federal Reserve Bank of Philadelphia,Jorge de la Roca,New York University,Victor Couture,University of California-Berkeley,Jessie Handbury,University of Pennsylvania,,,Nicolas Gendron-Carrier,Male,,,,,,NA,NA,NA,NA,NA
Nicolas Petrosky-Nadeau,Changes in U.S. Household Labor-Force Participation by Household Income,Federal Reserve Bank of San Francisco,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 20",Econometric Society,Macro Labor,A1,Bart Hobijn,Federal Reserve Bank of San Francisco,,,,,,,,,,,Nicolas Petrosky-Nadeau,Male,,,,,,NA,NA,NA,NA,NA
Nikhil Agarwal,Demand Analysis Using Strategic Reports: An Application to a School Choice Mechanism,Massachusetts Institute of Technology,Jan 05 2016,8:00 AM,"Hilton Union Square, Franciscan D",American Economic Association,"Market Design for Student Placement: Econometrics and Empirical Evidence (I2, D4)",,Bernard Salanie,Columbia University,Christopher A. Neilson,Princeton University,Jeremy Fox,University of Michigan,Alfred Galichon,Sciences Po Paris,Bernard Salanie,Columbia University,,,NIKHIL AGARWAL,Male,,,,,,NA,NA,NA,NA,NA
Nikhil Naik,StreetScore: Quantifying Urban Perception using Computer Vision and Crowdsourcing,Massachusetts Institute of Technology,Jan 05 2016,8:00 AM,"Hilton Union Square, Imperial B",American Economic Association,"Predictive Cities (H7, C1)",,Edward L. Glaeser,Harvard University,Susan Athey,Stanford University,,,,,,,,,Nikhil Naik,Male,,,,,,NA,NA,NA,NA,NA
Nikolai Roussanov,"Fracking, Drilling, and Asset Pricing: Estimating the Economic Benefits of the Shale Revolution",University of Pennsylvania,Jan 05 2016,1:00 PM,"Marriott Marquis, Yerba Buena Salons 3 & 4",American Finance Association,Commodities,G1,Lars Lochstoer,Columbia University,Anna Pavlova,London Business School,Ing-Haw Cheng,Dartmouth College,Anders Trolle,Swiss Finance Institute,Bryan R. Routledge,Tepper School of Business Carnegie-Mellon University,,,Nikolai Roussanov,Male,,,,,,NA,NA,NA,NA,NA
Nikolaos Artavanis,VAT Rates and Tax Evasion: Evidence from the Restaurant Industry in Greece,University of Massachusetts-Amherst,Jan 05 2016,10:15 AM,"Hilton Union Square, Union Square 21",American Economic Association,Regulation and Implementation of Tax Systems,H2,Jon M. Bakija,Williams College,,,,,,,,,,,Nikolaos Artavanis,Male,,,,,,NA,NA,NA,NA,NA
Nils Kok,Capitalization of Energy Efficiency in the Housing Market,Maastricht University,Jan 04 2016,2:30 PM,"Parc 55, Mission I",American Real Estate & Urban Economic Association,"Energy and the Environment (R1, Q5)",,Kenneth Gillingham,Yale University,Steven Sexton,Duke University,Kerry Vandell,University of California-Irvine,Raphael W. Bostic,University of Southern California,Jiro Yoshida,Pennsylvania State University,,,NILS KOK,Male,,,,,,NA,NA,NA,NA,NA
Nina Boyarchenko,Understanding Mortgage Spreads,Federal Reserve Bank of New York,Jan 05 2016,1:00 PM,"Parc 55, Powell II",American Real Estate & Urban Economic Association/American Finance Association,"Special Topics: Real Estate (G1, R2)",,Sheridan Titman,University of Texas-Austin,Timothy Riddiough,University of Wisconsin-Madison,Christopher Parsons,University of California-San Diego,Amit Seru,University of Chicago,Chester Spatt,Carnegie Mellon University,,,Nina Boyarchenko,Female,,,,,,NA,NA,NA,NA,NA
Nittai Bergman,The Effect of Cash Injections: Evidence from the 1980s Farm Debt Crisis,Massachusetts Institute of Technology,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 19",Econometric Society,Contracting,A1,Anjan Thakor,Washington University in St. Louis,,,,,,,,,,,Nittai Bergman,Male,,,,,,NA,NA,NA,NA,NA
Nitya Pandalai-Nayar,"Multinationals, Offshoring and the Decline in U.S. Manufacturing",University of Michigan,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 13",American Economic Association,"New Theory and Evidence on the Dynamics of Multinational Corporations (F1, F6)",,Stefania Garetto,Boston University,Stephen Yeaple,Pennsylvania State University,Javier Cravino,University of Michigan,Andres Rodriguez-Clare,University of California-Berkeley,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,,,Nitya Pandalai-Nayar,Female,,,,,,NA,NA,NA,NA,NA
Nitya Pandalai-Nayar,Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake,University of Michigan,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 14",Econometric Society,"Firm-Level International Linkages (F1, F2)",,Andrew McCallum,Federal Reserve Board,Natalia Ramondo,University of California-San Diego,Teresa Fort,Dartmouth College,Kim Ruhl,New York University,James Tybout,Pennsylvania State University,Claudia Steinwender,Harvard Business School,Nitya Pandalai-Nayar,Female,,,,,,NA,NA,NA,NA,NA
Noah Stoffman,Do Shocks to Personal Wealth Affect Risk-Taking in Delegated Portfolios?,Indiana University,Jan 03 2016,2:30 PM,"Marriott Marquis, Pacific C",Association of Financial Economists,"Managerial Traits, Life Experiences and Firm Behavior (G3, G3)",,Manju Puri,Duke University,Geoffrey Tate,University of North Carolina,Scott Yonker,Cornell University,Kenneth Ahern,University of Southern California,Leonard Kostovetsky,Boston College,,,Noah Stoffman,Male,,,,,,NA,NA,NA,NA,NA
Noam Yuchtman,"Reformation and Reallocation: Human Capital, Employment, and Economic Activity in the German Lands",University of California-Berkeley,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 20",Econometric Society,"Capital, Knowledge and Diffusion on the Path to the Industrial Revolution",A1,Carles Boix,Princeton University,,,,,,,,,,,Noam Yuchtman,Male,NBER Noam Yuchtman,,,,,NA,NA,NA,NA,NA
Nobu Kiyotaki,Anticipated Banking Crises,Princeton University,Jan 04 2016,2:30 PM,"Hilton Union Square, Plaza B",American Economic Association,"Quantitative Modeling of the Financial Crisis (E3, E4)",,Mark Gertler,New York University,Ali Shourideh,University of Pennsylvania,Simon Gilchrist,Boston University,Pablo Kurlat,Stanford University,Juliane Begenau,Harvard Business School,,,NOBU KIYOTAKI,Male,,,,,,NA,NA,NA,NA,NA
Norman Schurhoff,Relationship Trading in OTC Markets,University of Lausanne,Jan 05 2016,1:00 PM,"Marriott Marquis, Yerba Buena Salons 5 & 6",American Finance Association,In Honor of Rick Green,G1,Vincent Glode,University of Pennsylvania,Robert McDonald,Northwestern University,Burton Hollifield,Carnegie Mellon University,Jonathan Berk,Stanford University,,,,,Norman Schurhoff,Male,,,,,,NA,NA,NA,NA,NA
Norman Swanson,Robust Forecast Comparison,Rutgers University,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 5 & 6",Econometric Society,Forecasting and Prediction,A1,Barbara Rossi,University Pompeu Fabra and Barcelona GSE,,,,,,,,,,,NORMAN SWANSON,Male,,,,,,NA,NA,NA,NA,NA
Oded Galor,The Geographical Origins of the Tower of Babel: The Economic Causes and the Consequences of Linguistic Structure,Brown University and NBER,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 22",American Economic Association,"Economic Development and Culture (O1, Z1)",,Paola Giuliano,University of California-Los Angeles and NBER,Jessica Pan,Singapore National University,Assaf Sarid,Brown University,Alessandra Fogli,Bocconi University,Luigi Guiso,Einaudi Institute for Economics and Finance,,,ODED GALOR,Male,,,,,,NA,NA,NA,NA,NA
